Day,Clicks,Impressions,CTR,Position
19 Sep 2026,4,71,5.6%,6.0
18 Sep 2026,3,67,4.5%,6.0
17 Sep 2026,7,71,9.9%,6.5
16 Sep 2026,5,64,7.8%,5.9
15 Sep 2026,8,55,14.5%,6.1
14 Sep 2026,2,59,3.4%,6.5
13 Sep 2026,6,74,8.1%,5.7
