Day,Clicks,Impressions,CTR,Position
30 May 2026,0,4,0%,9.2
29 May 2026,0,2,0%,8.5
28 May 2026,0,4,0%,42.8
27 May 2026,0,18,0%,49.9
26 May 2026,0,25,0%,54.0
25 May 2026,2,51,3.9%,55.5
24 May 2026,0,59,0%,65.4
23 May 2026,0,50,0%,61.6
22 May 2026,0,68,0%,64.6
21 May 2026,1,51,2%,59.1
20 May 2026,0,60,0%,64.3
19 May 2026,1,80,1.2%,62.0
18 May 2026,0,65,0%,54.0
17 May 2026,0,86,0%,59.3
16 May 2026,2,63,3.2%,43.1
15 May 2026,2,73,2.7%,53.5
14 May 2026,1,57,1.8%,40.0
13 May 2026,4,110,3.6%,37.0
12 May 2026,4,71,5.6%,19.2
11 May 2026,2,28,7.1%,21.7
10 May 2026,0,4,0%,8.5
9 May 2026,0,5,0%,9.2
8 May 2026,0,1,0%,6.0
7 May 2026,0,3,0%,4.3
6 May 2026,0,8,0%,6.8
5 May 2026,0,4,0%,7.0
