Day,Clicks,Impressions,CTR,Position
5 Sep 2026,10,121,8.3%,6.3
4 Sep 2026,10,74,13.5%,5.4
3 Sep 2026,15,105,14.3%,5.8
2 Sep 2026,10,91,11%,7.2
1 Sep 2026,9,67,13.4%,6.5
31 Aug 2026,1,71,1.4%,7.7
30 Aug 2026,2,74,2.7%,10.8
