Day,Clicks,Impressions,CTR,Position
8 Aug 2026,7,76,9.2%,6.9
7 Aug 2026,10,94,10.6%,5.6
6 Aug 2026,5,75,6.7%,7.1
5 Aug 2026,9,93,9.7%,6.8
4 Aug 2026,7,79,8.9%,6.9
3 Aug 2026,6,51,11.8%,6.1
2 Aug 2026,6,60,10%,7.7
