Day,Clicks,Impressions,CTR,Position
22 Aug 2026,10,90,11.1%,8.7
21 Aug 2026,3,71,4.2%,11.4
20 Aug 2026,5,70,7.1%,10.1
19 Aug 2026,6,88,6.8%,10.9
18 Aug 2026,6,95,6.3%,9.6
17 Aug 2026,4,90,4.4%,10.3
16 Aug 2026,7,79,8.9%,10.9
