Day,Clicks,Impressions,CTR,Position
12 Sep 2026,9,69,13%,5.7
11 Sep 2026,7,77,9.1%,6.2
10 Sep 2026,9,91,9.9%,5.3
9 Sep 2026,7,113,6.2%,6.1
8 Sep 2026,5,76,6.6%,6.8
7 Sep 2026,6,72,8.3%,6.5
6 Sep 2026,3,109,2.8%,6.3
