Day,Clicks,Impressions,CTR,Position
14 Jun 2026,0,134,0%,14.3
13 Jun 2026,3,106,2.8%,14.4
12 Jun 2026,0,118,0%,15.9
11 Jun 2026,4,104,3.8%,15.0
10 Jun 2026,1,72,1.4%,17.2
9 Jun 2026,2,98,2%,15.4
8 Jun 2026,0,62,0%,18.3
