Day,Clicks,Impressions,CTR,Position
29 Aug 2026,3,71,4.2%,19.6
28 Aug 2026,5,52,9.6%,10.4
27 Aug 2026,5,69,7.2%,16.0
26 Aug 2026,6,78,7.7%,7.4
25 Aug 2026,1,88,1.1%,10.0
24 Aug 2026,4,62,6.5%,8.3
23 Aug 2026,6,63,9.5%,9.4
