Country,Clicks,Impressions,CTR,Position
United States,37,491,7.5%,6.5
United Kingdom,4,21,19%,5.3
Mexico,2,10,20%,8.1
Australia,1,15,6.7%,6.4
Canada,1,25,4%,8.2
Germany,1,7,14.3%,5.3
Spain,1,7,14.3%,7.1
ALB,0,1,0%,3.0
United Arab Emirates,0,1,0%,7.0
Argentina,0,2,0%,6.5
Belgium,0,3,0%,10.0
Bangladesh,0,5,0%,30.4
BGR,0,2,0%,7.5
BHS,0,1,0%,8.0
BIH,0,2,0%,10.5
Brazil,0,5,0%,6.8
Switzerland,0,6,0%,8.3
China,0,1,0%,2.0
CUB,0,1,0%,10.0
CYP,0,1,0%,4.0
Denmark,0,3,0%,8.7
DOM,0,2,0%,10.0
DZA,0,2,0%,55.5
ECU,0,1,0%,10.0
France,0,2,0%,7.5
GEO,0,1,0%,6.0
HKG,0,2,0%,5.5
Indonesia,0,7,0%,40.4
India,0,10,0%,26.1
IRN,0,2,0%,9.5
Italy,0,3,0%,9.0
Japan,0,1,0%,11.0
KGZ,0,1,0%,11.0
LTU,0,1,0%,10.0
LUX,0,1,0%,1.0
MAR,0,1,0%,41.0
Malaysia,0,1,0%,3.0
Netherlands,0,12,0%,4.8
Norway,0,1,0%,11.0
Pakistan,0,2,0%,50.0
Philippines,0,4,0%,67.8
Poland,0,2,0%,6.0
Portugal,0,1,0%,2.0
PRY,0,1,0%,9.0
RUS,0,2,0%,8.5
Saudi Arabia,0,1,0%,71.0
Singapore,0,3,0%,7.0
SRB,0,1,0%,9.0
SVK,0,2,0%,3.0
Sweden,0,4,0%,8.0
Thailand,0,4,0%,16.8
TTO,0,1,0%,3.0
Turkey,0,2,0%,16.0
TWN,0,1,0%,2.0
UGA,0,1,0%,9.0
Ukraine,0,1,0%,8.0
VEN,0,1,0%,11.0
VIR,0,1,0%,8.0
Vietnam,0,2,0%,44.0
South Africa,0,1,0%,8.0
