Day,Clicks,Impressions,CTR,Position
15 Aug 2026,4,100,4%,6.5
14 Aug 2026,12,86,14%,6.9
13 Aug 2026,6,124,4.8%,11.7
12 Aug 2026,8,102,7.8%,9.2
11 Aug 2026,12,126,9.5%,6.9
10 Aug 2026,1,76,1.3%,8.2
9 Aug 2026,4,85,4.7%,8.2
